estudiar:to study
escuchar:to listen
la música:the music
el radio:radio (device)
la radio:radio (medium)
el bar:a bar (place)
mientras:while
cocinar:cooking (activity)
conducir:driving (activity)
estudiar:studying (activity)
trabajar:working (activity)
hacer la limpieza:do the cleaning
lavar la ropa:to do the laundry
la música de los 80:80's music
las noticias en la radio:news in the radio
empezar:to start
empezar a trabajar:to start working
terminar:to end
terminar:to finish
terminar de trabajar:to finish working
limpiar:to clean
limpiar los platos:to clean the dishes
volver a la casa:to return home
ver las noticias en internet:to watch news on the Internet
ver una pelicula en la televisión:to watch a movie on TV
ver documentales en el ordenador:watch documentary on the computer
ver una serie en el cine:watch TV series in the cinema
entre semana:during the week
coger el metro, el tren, el bus, el coche:take/drive metro, train, bus, car
coger el bus para ir a la oficina:take the bus to go to the office
el gymnasio:a gym
llegar a la oficina:to arrive to the office
tomar un aperitivo:have an apetizer
poder:to can
poder:to be able to
puedo, puedes, puede, podemos, podeís, pueden:to can (conjugation)
escribir mensajes:to write messages
el mensaje:the messsage
tener una conversación:to have a conversation
entender:to undestand
entender las instrucciónes:to understand the instructions
pedir:to ask for
pedir:to order
pedir información:to ask for information
saber:to know
saber cocinar:to know how to cook
planchar:to iron (clothes)
nadar:to swim
jugar al tenis:to play tenis
jugar al golf:to play golf
esquiar:to ski
montar en bici:ride a bike
montar:ride
hacer deporte:to do sport
un vez a la semana:once a week
dos/tres veces a la semana:two/three times a week
cada 15 días:every 15 days
hacer la compra:to do the shopping
hacer la comida:to prepare food
pretérito perfecto:present perfect
he, has, ha, hemos, habéis, han:present perfect 'have' conjugation
hacer, hecho:to do (past participle)
ver, visto:to see (past participle)
volver, vuelto:to return (past participle)
poner, puesto:to put (past participle)
decir, dicho:to say (past participle)
escribir, escrito:to write (past participle)
abrir:to open
abrir, abierto:to open (past participle)
romper:to break (wear out)
romper:to break (smash)
romper, roto:to break (past participle)
la muerte:the death
morir:to die
morir, muerto:to die (past participle)
ducharse:to take shower
oír:to hear
oye cómo va:hey, how it's going
